symbol,base,quote,type,futures_available,active,spot,future
1000CAT/USDT,1000CAT,USDT,spot,True,True,True,True
1000CHEEMS/USDT,1000CHEEMS,USDT,spot,True,True,True,True
1000SATS/USDT,1000SATS,USDT,spot,True,True,True,True
1INCH/BTC,1INCH,BTC,spot,True,True,True,True
1INCH/USDT,1INCH,USDT,spot,True,True,True,True
1MBABYDOGE/USDT,1MBABYDOGE,USDT,spot,True,True,True,True
A/BTC,A,BTC,spot,True,True,True,True
A/USDT,A,USDT,spot,True,True,True,True
AAVE/BTC,AAVE,BTC,spot,True,True,True,True
AAVE/USDT,AAVE,USDT,spot,True,True,True,True
ACA/USDT,ACA,USDT,spot,True,True,True,True
ACE/USDT,ACE,USDT,spot,True,True,True,True
ACH/BTC,ACH,BTC,spot,True,True,True,True
ACH/USDT,ACH,USDT,spot,True,True,True,True
ACM/USDT,ACM,USDT,spot,True,True,True,True
ACT/USDT,ACT,USDT,spot,True,True,True,True
ACX/USDT,ACX,USDT,spot,True,True,True,True
ADA/BTC,ADA,BTC,spot,True,True,True,True
ADA/USDT,ADA,USDT,spot,True,True,True,True
ADX/BTC,ADX,BTC,spot,True,True,True,True
ADX/USDT,ADX,USDT,spot,True,True,True,True
AEUR/USDT,AEUR,USDT,spot,True,True,True,True
AEVO/BTC,AEVO,BTC,spot,True,True,True,True
AEVO/USDT,AEVO,USDT,spot,True,True,True,True
AGLD/BTC,AGLD,BTC,spot,True,True,True,True
AGLD/USDT,AGLD,USDT,spot,True,True,True,True
AI/BTC,AI,BTC,spot,True,True,True,True
AI/USDT,AI,USDT,spot,True,True,True,True
AIXBT/USDT,AIXBT,USDT,spot,True,True,True,True
ALCX/USDT,ALCX,USDT,spot,True,True,True,True
ALGO/BTC,ALGO,BTC,spot,True,True,True,True
ALGO/USDT,ALGO,USDT,spot,True,True,True,True
ALICE/USDT,ALICE,USDT,spot,True,True,True,True
ALPINE/USDT,ALPINE,USDT,spot,True,True,True,True
ALT/BTC,ALT,BTC,spot,True,True,True,True
ALT/USDT,ALT,USDT,spot,True,True,True,True
AMP/USDT,AMP,USDT,spot,True,True,True,True
ANIME/USDT,ANIME,USDT,spot,True,True,True,True
ANKR/BTC,ANKR,BTC,spot,True,True,True,True
ANKR/USDT,ANKR,USDT,spot,True,True,True,True
APE/BTC,APE,BTC,spot,True,True,True,True
APE/USDT,APE,USDT,spot,True,True,True,True
API3/BTC,API3,BTC,spot,True,True,True,True
API3/USDT,API3,USDT,spot,True,True,True,True
APT/BTC,APT,BTC,spot,True,True,True,True
APT/USDT,APT,USDT,spot,True,True,True,True
AR/BTC,AR,BTC,spot,True,True,True,True
AR/USDT,AR,USDT,spot,True,True,True,True
ARB/BTC,ARB,BTC,spot,True,True,True,True
ARB/USDT,ARB,USDT,spot,True,True,True,True
ARDR/BTC,ARDR,BTC,spot,True,True,True,True
ARDR/USDT,ARDR,USDT,spot,True,True,True,True
