symbol,price,volume_24h,change_24h,status
BTCUSDT,119250.5,9300840905.42,1.566,available
ETHUSDT,3000.03,9064553221.01,2.239,available
SOLUSDT,163.24,1779686525.3946,1.923,available
BNBUSDT,693.56,171198060.674,1.372,available
ADAUSDT,0.7502,605674344.6263,6.578,available
XRPUSDT,2.8646,3078860200.8401,5.034,available
DOTUSDT,4.046,152477179.576,4.225,available
LINKUSDT,15.858,228702084.402,5.812,available
MATICUSDT,,0.0,,available
MATICUSDT,0.0,0.0,0.0,unavailable
AVAXUSDT,21.687,242985620.851,4.996,available
LTCUSDT,96.67,164290043.73,4.587,available
BCHUSDT,509.53,143888695.14,0.424,available
EOSUSDT,,0.0,,available
EOSUSDT,0.0,0.0,0.0,unavailable
TRXUSDT,0.30357,83511987.58328,1.173,available
FILUSDT,2.606,86303711.334,3.208,available
NEARUSDT,2.581,111830603.564,4.325,available
ATOMUSDT,4.728,27755097.556,3.412,available
FTMUSDT,0.7702,80303756.7992,-7.361,available
ALGOUSDT,0.2653,164954076.8798,22.314,available
VETUSDT,0.025032,19938601.330981,6.442,available
